fen|mv|mv_score|bmv|bmv_score|difs
rnb1kb1r/pp1pq1pp/2p5/3Q2p1/2B1P3/2N5/P3NPPP/5K2 w kq - 0 12|c7c6|1515|c7c6|1518|3
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1|e2e4|36|g1f3|-8|-44
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|50|g1f3|36|-14
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3|b1c3|48|d2d4|10|-38
rn1qkbnr/ppp2ppp/3p4/4p3/2B1P1b1/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 3 4|f1c4|33|d2d4|77|44
rn1qk1nr/ppp1bppp/3p4/4p3/2B1P1b1/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|15|h2h3|71|56
rn1qk1nr/ppp2ppp/3p4/4p1B1/2B1P1b1/2NP1N2/PPP2PPP/R2QK2R b KQkq - 0 6|c1g5|551|c1g5|548|-3
rn2k1nr/ppp2ppp/3p4/4p1N1/2B1P1b1/2NP4/PPP2PPP/R2QK2R b KQkq - 0 7|f3g5|724|f3g5|739|15
rn2k1nr/ppp2ppp/3p4/4p1N1/2B1P3/3P4/PPP2PPP/R2NK2R b KQkq - 0 8|c3d1|538|g5f7|730|192
rn2k2r/ppp2Bpp/3p1n2/4p1N1/4P3/3P4/PPP2PPP/R2NK2R b KQkq - 0 9|c4f7|671|c4f7|655|-16
rn5r/ppp1k1pp/3p1n2/3Bp1N1/4P3/3P4/PPP2PPP/R2NK2R b KQ - 2 10|f7d5|634|f7b3|652|18
rn3r2/pBp1k1pp/3p1n2/4p1N1/4P3/3P4/PPP2PPP/R2NK2R b KQ - 0 11|d5b7|897|d5b7|890|-7
Bn3r2/p1p1k1pp/3p4/4p1N1/4P1n1/3P4/PPP2PPP/R2NK2R b KQ - 0 12|b7a8|1334|b7a8|1346|12
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1|e2e4|36|g1f3|0|-36
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|27|g1f3|19|-8
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3|f1c4|51|d2d4|37|-14
rnbqkbnr/ppp2pp1/3p3p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4|b1c3|44|d2d4|49|5
rnbqkb1r/ppp2pp1/3p1n1p/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|-4|d2d4|42|46
rnbqkb1r/1pp2pp1/p2p1n1p/4p3/2B1P3/2NPBN2/PPP2PPP/R2QK2R b KQkq - 1 6|c1e3|14|e1g1|20|6
rnbqkb1r/1p3pp1/p2p1n1p/2pNp3/2B1P3/3PBN2/PPP2PPP/R2QK2R b KQkq - 1 7|c3d5|19|e1g1|39|20
rnbqkb1r/5pp1/p2p1N1p/1pp1p3/2B1P3/3PBN2/PPP2PPP/R2QK2R b KQkq - 0 8|d5f6|91|d5f6|87|-4
rnbqkb1r/5p2/p2p1p1p/1ppBp3/4P3/3PBN2/PPP2PPP/R2QK2R b KQkq - 1 9|c4d5|228|c4d5|216|-12
1nbqkb1r/r4p2/p2p1p1p/1ppBp3/4P3/2PPBN2/PP3PPP/R2QK2R b KQk - 0 10|c2c3|181|e1g1|213|32
