fen|mv|mv_score|bmv|bmv_score|difs
r1b1kb1r/ppq2ppp/3pp3/n2P4/2B1N3/1P3N2/P4PPP/R1BQ1RK1 b kq - 0 11|b2b3|494|c4b5|707|213
rnbqkbnr/pppp2pp/5p2/4p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3|f7f6|-154|e5f4|-23|131
r1bqk1nr/pppp2pp/2n2p2/2b5/2BpPP2/5N2/PPP3PP/RNBQK2R w KQkq - 0 6|e5d4|-100|e5d4|-46|54
r1bqk1nr/pppp2pp/2n5/2b1Pp2/2Bp1P2/5N2/PPP3PP/RNBQK2R w KQkq - 0 7|f6f5|-85|d7d5|134|219
r1bqk1nr/ppp3pp/2np4/2b1Pp2/2Bp1P2/5N2/PPPN2PP/R1BQK2R w KQkq - 0 8|d7d6|-182|d7d5|-76|106
r1bqk1nr/ppp3pp/2np4/2b1PpN1/3p1P2/8/PPPN2PP/R1BQK2R w KQ - 2 10|f7e8|541|f7f8|653|112
r1bk2nr/p1pn2pp/1p3p2/2bNp3/2B1P3/5N2/PPP2PPP/R1B2RK1 b - - 1 9|c3d5|-24|c4d5|55|79
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 4 4|b8c6|-73|e7e6|-6|67
r3kb1r/pppq1p1p/2n2p2/1B1ppb2/3P4/2N1PN2/PPP2PPP/R2QK2R w KQkq - 2 8|d8d7|-146|e5e4|-92|54
r3kb1r/1pp2p1p/p1q2p2/3ppb2/3P4/2N1PN2/PPP2PPP/R2Q1RK1 w kq - 0 10|d7c6|-211|b7c6|-117|94
2kr1b1r/1pp2p1p/p1q2p2/3ppb2/3P4/2N1PN2/PPP2PPP/R2QR1K1 w - - 2 11|e8c8|-71|e5e4|8|79
rnbqkbnr/1ppp1pp1/p3p2p/4P3/2BP4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 2 6|f1c4|7|f1d3|131|124
rnbqk1nr/1pp2pp1/p3p2p/3pP3/1b1P4/2NB1N2/PPPB1PPP/R2QK2R b KQkq - 3 8|c1d2|28|e1g1|87|59
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3|d1d4|-66|g1f3|-17|49
r1bqkb1r/pppp1ppp/5n2/8/1n2P3/2NBQ3/PPP2PPP/R1B1K1NR b KQkq - 6 6|f1d3|6|e3e2|117|111
r1bq1rk1/ppppbppp/2n2n2/8/4P3/P1NB1NQ1/1PP2PPP/R1B1K2R b KQ - 4 9|g1f3|-4|c1h6|113|117
r1bq1rk1/pppp1ppp/2nb1n2/4P3/8/P1NB1NQ1/1PP2PPP/R1B1K2R b KQ - 0 10|e4e5|-186|g3h4|32|218
r1bq1rk1/pppp1ppp/5n2/4Q3/8/P1NB4/1PP2PPP/R1B1K2R b KQ - 0 12|g3e5|-322|d3e2|-14|308
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|-42|g1f3|33|75
r1b1k1nr/ppp1qp1p/2np2p1/8/2B1P3/2N2N2/PPP1QPPP/2R2RK1 b kq - 1 10|e1g1|61|c3d5|249|188
r3k1nr/ppp1qp1p/2np2p1/8/2B1P1b1/2N2N2/PPP1QPPP/3R1RK1 b kq - 3 11|c1d1|-25|c3d5|138|163
rnbqkbnr/pp1p1ppp/2p5/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq - 0 3|c7c6|-66|g8f6|-11|55
rnbqkbnr/pp3ppp/2p5/3pp3/2P5/4PQ2/PP1P1PPP/RNB1KBNR w KQkq - 0 4|d7d5|42|d7d5|83|41
rnbqkbnr/pp3ppp/8/3p4/4p3/2N1PQ2/PP1P1PPP/R1B1KBNR w KQkq - 0 6|e5e4|-13|g8f6|75|88
r1bqkb1r/pp1n1ppp/5n2/1Q1p4/4p3/2N1P3/PP1P1PPP/R1B1KBNR w KQkq - 4 8|b8d7|-7|b8c6|188|195
r1bqkb1r/pp1n1ppp/8/1Q1n4/4p3/4P3/PP1P1PPP/R1B1KBNR w KQkq - 0 9|f6d5|-103|f8d6|-29|74
r1b1kb1r/pp2qppp/1n6/3Q4/2B1p3/4P3/PP1P1PPP/R1B1K1NR w KQkq - 3 11|d7b6|-150|a7a6|-83|67
r1bqk1nr/pppp1ppp/2n5/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4|f8c5|-112|a7a6|-62|50
r1bqk1nr/2pp1ppp/p1p5/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 6|b7c6|-145|d7c6|-53|92
r1bqk1nr/2p2ppp/p1p5/2bpN3/4P3/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 7|d7d5|-293|d8g5|-143|150
r1bqk1nr/2p2ppp/p1p5/3pN3/3bP3/2N5/PPPP1PPP/R1BQ1RK1 w kq - 2 8|c5d4|-707|g8e7|-235|472
r1bqkb1r/pp1ppppp/2n2n2/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4|f1c4|-60|f1b5|53|113
r1bqkb1r/pp1p1p1p/2n1pnp1/2p5/2B1PB2/2NP1N2/PPP2PPP/R2QK2R b KQkq - 1 6|c1f4|48|e1g1|93|45
r1bqkb1r/pp1p1p1p/4pnp1/8/2BpPB2/3P4/PPP1NPPP/R2QK2R b KQkq - 1 8|c3e2|47|c3b5|105|58
r1bqk2r/pp1p1pbp/4pnp1/8/2BNPB2/3P4/PPP2PPP/R2QK2R b KQkq - 0 9|e2d4|-84|e1g1|20|104
r1b1k2r/pp1p1pbp/5np1/q3B3/2BNP3/2PP4/PP3PPP/R2QK2R b KQkq - 0 11|f4e5|-222|d4b3|126|348
